Date,Tmean
2006-12-31,21.556269073220687
2007-12-31,21.27465360983103
2008-12-31,21.07368868407578
2009-12-31,21.778001024065542
2010-12-31,19.651801331285203
2011-12-31,21.48823681515617
2012-12-31,22.083877624167943
2013-12-31,21.019431387608808
2014-12-31,22.127368663594467
2015-12-31,23.14575960061444
2016-12-31,20.401026625704045
2017-12-31,19.46973425499232
2018-12-31,19.697631336405532
2019-12-31,22.758362263184846
2020-12-31,20.26773553507424
2021-12-31,20.099885560675883
2022-12-31,20.191615975422426
2023-12-31,19.073589861751152
2024-12-31,19.640903481822836
2025-12-31,19.746547107014848
2026-12-31,23.60382565284178
2027-12-31,22.890804915514593
2028-12-31,22.450112135176653
2029-12-31,21.49193804403482
2030-12-31,20.54109216589862
2031-12-31,19.862570404505888
2032-12-31,20.43236712749616
2033-12-31,20.247609318996414
2034-12-31,21.256797235023043
2035-12-31,19.87001561699949
2036-12-31,22.94649231950845
2037-12-31,20.852903481822835
2038-12-31,20.623314644137224
2039-12-31,23.85466589861751
2040-12-31,20.908803123399895
2041-12-31,22.914592677931385
2042-12-31,20.400630056323603
2043-12-31,22.175926267281103
2044-12-31,22.831713517665133
2045-12-31,20.436778289810547
2046-12-31,21.471641065028162
2047-12-31,20.709973886328726
2048-12-31,22.769335893497185
2049-12-31,20.406058627752177
2050-12-31,21.83638991295443
2051-12-31,23.04491986687148
2052-12-31,23.63375755248336
2053-12-31,23.12887788018433
2054-12-31,22.344608294930875
2055-12-31,22.697994879672297
2056-12-31,22.04426472094214
2057-12-31,22.27492754736303
2058-12-31,21.43695186891961
2059-12-31,22.025339221710187
2060-12-31,22.09292242703533
2061-12-31,21.79555017921147
2062-12-31,21.810770097286227
2063-12-31,21.85218509984639
2064-12-31,24.17322529441884
2065-12-31,23.59578443420379
2066-12-31,21.909765232974916
2067-12-31,23.690052739375318
2068-12-31,23.401286738351256
2069-12-31,22.214161034306198
2070-12-31,22.53187480798771
2071-12-31,20.985921146953405
2072-12-31,23.2592688172043
2073-12-31,22.61943420378904
2074-12-31,21.909202508960572
2075-12-31,21.08427240143369
2076-12-31,23.01754557091654
2077-12-31,21.23831822836662
2078-12-31,21.173822836661547
2079-12-31,21.685849718381977
2080-12-31,21.272470302099336
2081-12-31,21.488552995391704
2082-12-31,21.178732974910393
2083-12-31,21.504939836149518
2084-12-31,24.654298515104966
2085-12-31,23.090758064516127
2086-12-31,20.95548412698413
2087-12-31,23.347636968766
2088-12-31,22.74121940604199
2089-12-31,21.954897337429596
2090-12-31,21.772464157706093
2091-12-31,22.804187147977473
2092-12-31,22.337465949820785
2093-12-31,22.41752380952381
2094-12-31,24.177676139272915
2095-12-31,25.001634664618535
2096-12-31,22.683348182283666
2097-12-31,21.599364823348694
2098-12-31,20.970950844854073
2099-12-31,21.47339503328213
2100-12-31,23.123431899641577
